|-72.9|40.74284|Number Null|Number Null
PZ|57081|Cape Flattery to Cape Lookout|46.9267|-128.244
PZ|57082|Cape Lookout to Point St. George|43.5564|-127.865
PZ|57083|Point St. George to Point Arena|40.127|-127.532
PZ|57084|Point Arena to Point Conception|36.2416|-125.51
PZ|57085|Port Conception to Guadalupe Island|31.6227|-120.958
PZ|57110|Grays Harbor Bar|-123.99|46.9338
PZ|57130|West Entrance U.S. Waters Strait Of Juan De Fuca|-124.478|48.3665
PZ|57131|Central U.S. Waters Strait Of Juan De Fuca|-123.679|48.2702
PZ|57132|East Entrance U.S. Waters Strait Of Juan De Fuca|-122.958|48.2098
PZ|57133|Northern Inland Waters Including The San Juan Islands|-123.217|48.5065
PZ|57134|Admiralty Inlet|-122.675|48.0639
PZ|57135|Puget Sound and Hood Canal|-122.47|47.5646
PZ|57150|Coastal Waters From Cape Flattery To James Island Out 20 Nm|-124.945|48.2066
PZ|57153|Coastal Waters From James Island To Point Grenville Out 20 Nm|-124.706|47.6055
PZ|57156|Coastal Waters From Point Grenville To Cape Shoalwater Out 20 Nm|-124.442|47.0171
PZ|57170|Coastal Waters From Cape Flattery To James Island 20 To 60 Nm|-125.691|48.2178
PZ|57173|Waters From James Island To Point Grenville 20 To 60 Nm|-125.486|47.6047
PZ|57176|Coastal Waters From Point Grenville To Cape Shoalwater 20 To 60 Nm|-125.186|47.0093
PZ|57210|Columbia River Bar|-123.678|46.2118
PZ|57250|Coastal waters from Cape Shoalwater WA to Cascade Head OR out 20 nm|-124.172|45.9098
PZ|57255|Coastal waters from Cascade Head to Florence OR out 20 nm|-124.264|44.5413
PZ|57270|Waters from Cape Shoalwater WA to Cascade Head OR from 20 to 60 nm|-124.995|45.9013
PZ|57275|Waters from Cascade Head to Florence OR from 20 to 60 nm|-125.003|44.5417
PZ|57350|Coastal waters from Florence to Cape Blanco OR out 20 nm|-124.469|43.4285
PZ|57356|Coastal waters from Cape Blanco OR to Pt. St. George CA out 20 nm|-124.598|42.3053
PZ|57370|Waters from Florence to Cape Blanco OR from 20 to 60 nm|-125.261|43.421
PZ|57376|Waters from Cape Blanco OR to Pt. St. George CA from 20 to 60 nm|-125.297|42.305
PZ|57410|Humboldt Bay Bar|-124.19|40.7726
PZ|57410|Humboldt Bay Bar|Number Null|Number Null
PZ|57450|Coastal waters from Pt. St. George to Cape Mendocino CA out 20 nm|-124.437|41.1055
PZ|57455|Coastal waters from Cape Mendocino to Pt. Arena CA out 20 nm|-124.254|39.6916
PZ|57470|Waters from Pt. St. George to Cape Mendocino CA from 20 to 60 nm|-125.105|41.1052
PZ|57475|Waters from Cape Mendocino to Pt. Arena CA from 20 to 60 nm|-124.917|39.6918
PZ|57530|San Francisco/San Pablo/Suisun Bays and the West Delta|-122.39|37.8251
PZ|57535|Monterey Bay|-121.888|36.7904
PZ|57540|Coastal Waters from Point Arena to Point Reyes California out to 20 nm|-123.272|38.0713
PZ|57545|Coastal Waters from Point Reyes to Pigeon Point California out to 20 nm|-123.272|38.0713
PZ|57560|Coastal Waters from Pigeon Point to Point Pinos California out to 20 nm|-122.041|36.4353
PZ|57565|Coastal Waters from Point Pinos to Point Piedras Blancas California out to 20 nm|-122.041|36.4353
PZ|57570|Waters from Pt. Arena to Pigeon Pt. CA from 20 to 60 nm|-123.917|38.0734
PZ|57575|Waters from Pigeon Pt. to Pt. Piedras Blancas CA from 20 to 60 nm|-122.758|36.4353
PZ|57650|East Santa Barbara Channel from Pt. Conception to Pt. Mugu including Santa Cruz and Anacapa Islands|-119.748|34.2454
PZ|57655|Inner waters from Point Mugu to San Mateo Pt. CA including Santa Catalina and Santa Barbara Islands|-118.567|33.5709
PZ|57670|The Waters from Pt. Piedras Blancas to Pt. Arguello and Westward 60 nm|-121.71|35.1108
PZ|57673|Waters from Pt. Arguello to Santa Cruz Island CA and westward 60 nm including San Miguel and Santa Rosa Islands|-120.789|34.1282
PZ|57676|Outer waters from Santa Cruz Island to San Clemente Island to 60 nm offshore including San Nicolas Island|-119.902|33.5074
PZ|57750|Coastal Waters from San Mateo Point to the Mexican Border and out to 30 nm|-117.648|32.9325
PZ|57775|Waters from San Mateo point to the Mexican Border Extending 30 to 60 nm out including San Clemente Island|-118.123|32.8044
PK|58011|Glacier Bay|-136.232|58.7234
PK|58012|Northern Lynn Canal|-135.302|59.1042
PK|58013|Southern Lynn Canal|-135.068|58.5887
PK|58021|Icy Strait|-135.625|58.2291
PK|58022|Cross Sound|-136.355|58.1444
PK|58031|Stephens Passage|-133.951|57.8853
PK|58032|Northern Chatham Strait|-134.773|57.6127
PK|58033|Southern Chatham Strait|-134.5|56.5159
PK|58034|Frederick Sound|-134.275|56.9871
PK|58035|Sumner Strait|-133.281|56.3966
PK|58036|Clarence Strait|-131.823|55.6123
PK|58041|Dixon Entrance to Cape Decision|-134.113|55.1285
PK|58042|Cape Decision to Cape Edgecumbe|-135.879|56.1893
PK|58043|Southeast Alaska Outside Waters From Cape Edgecumbe to Cape Fairweather|-137.772|57.5926
PK|58051|Cape Fairweather to Icy Cape|-139.951|59.0682
PK|58052|Icy Cape to Cape Suckling|-142.85|59.3442
PK|58053|Yakutat Bay|-139.76|59.7977
PK|58120|Cape Suckling to Gore Point|-147.437|59.563
PK|58121|Resurrection Bay|-149.385|60.0562
PK|58125|Prince William Sound|-147.154|60.5312
PK|58126|Port of Valdez|-146.444|61.1084
PK|58127|Valdez Narrows|-146.668|61.0494
PK|58128|Valdez Arm|-146.86|60.9434
PK|58129|Passage Canal|-148.577|60.8067
PK|58130|Barren Islands And Kamishak Bay Waters|-151.63|58.6433
PK|58132|Gore Point To Sitkinak|-152.068|56.853
PK|58136|Chiniak Bay|-152.367|57.7039
PK|58137|Marmot Bay|-152.622|57.9997
PK|58138|Shelikof Strait|-154.156|58.0624
PK|58140|Cook Inlet North of Kamishak Bay and English Bay|-151.891|60.338
PK|58141|Kachemak Bay|-151.451|59.5598
PK|58150|Sitkinak to Castle Cape|-155.851|55.9389
PK|58155|Castle Cape to Cape Sarichef|-160.89|54.6006
PK|58160|Cape Newenham to Port Heiden|-160.295|57.9826
PK|58165|Port Heiden to Cape Sarichef|-162.49|55.7998
PK|58170|Cape Sarichef to Nikoski|-165.197|53.9
PK|58171|Unalaska Bay|-166.587|53.9246
